estado,ano,turno,situacao,quantidade,proporcao
Amazonas,2006,2,DEMAIS,2226585,6.249.831.585.187.580
Amazonas,2006,2,VALIDOS,1336047,375.016.841.481.242
Amazonas,2010,1,DEMAIS,502948,24.798.705.403.323.800
Amazonas,2010,1,VALIDOS,1525174,7.520.129.459.667.610
Amazonas,2010,2,DEMAIS,611299,30.139.396.787.065.000
Amazonas,2010,2,VALIDOS,1416940,6.986.060.321.293.490
Amazonas,2014,1,DEMAIS,547775,24.612.132.295.125.400
Amazonas,2014,1,VALIDOS,1677855,7.538.786.770.487.450
Amazonas,2014,2,DEMAIS,636791,28.610.934.761.384.200
Amazonas,2014,2,VALIDOS,1588900,7.138.906.523.861.570
Bahia,1989,1,DEMAIS,1842786,31.266.193.756.520.500
Bahia,1989,1,VALIDOS,4051075,68.733.806.243.479.400
Bahia,1989,2,DEMAIS,1842786,31.266.193.756.520.500
Bahia,1989,2,VALIDOS,4051075,68.733.806.243.479.400
Bahia,1994,1,DEMAIS,3307734,4.704.082.584.620.560
Bahia,1994,1,VALIDOS,3723890,5.295.917.415.379.430
Bahia,1998,1,DEMAIS,4048048,5.103.292.542.776.120
Bahia,1998,1,VALIDOS,3884180,4.896.707.457.223.870
Bahia,2002,1,DEMAIS,3323038,3.878.390.562.185.130
Bahia,2002,1,VALIDOS,5245047,6.121.609.437.814.860
Bahia,2002,2,DEMAIS,2919922,3.407.699.412.342.870
Bahia,2002,2,VALIDOS,5648680,6.592.300.587.657.120
Bahia,2006,1,DEMAIS,11777649,646.459.139.304.405
Bahia,2006,1,VALIDOS,6441057,353.540.860.695.595
Bahia,2006,2,DEMAIS,11573975,6.352.797.503.840.280
Bahia,2006,2,VALIDOS,6644731,3.647.202.496.159.710
Bahia,2010,1,DEMAIS,2856467,29.928.299.076.481.500
Bahia,2010,1,VALIDOS,6687901,7.007.170.092.351.840
Bahia,2010,2,DEMAIS,2859028,29.954.117.948.920.500
Bahia,2010,2,VALIDOS,6685663,700.458.820.510.795
Bahia,2014,1,DEMAIS,3193495,31.372.164.736.786.700
Bahia,2014,1,VALIDOS,6985895,6.862.783.526.321.320
Bahia,2014,2,DEMAIS,2968493,2.916.107.175.860.680
Bahia,2014,2,VALIDOS,7211150,7.083.892.824.139.310
Ceará,1989,1,DEMAIS,749750,22.369.872.831.114.300
Ceará,1989,1,VALIDOS,2601856,776.301.271.688.856
Ceará,1989,2,DEMAIS,749750,22.369.872.831.114.300
Ceará,1989,2,VALIDOS,2601856,776.301.271.688.856
Ceará,1994,1,DEMAIS,1526120,3.809.078.822.013.940
Ceará,1994,1,VALIDOS,2480413,6.190.921.177.986.050
Ceará,1998,1,DEMAIS,1645827,3.825.787.495.379.980
Ceará,1998,1,VALIDOS,2656103,6.174.212.504.620.010
Ceará,2002,1,DEMAIS,1366885,28.445.605.117.226.700
Ceará,2002,1,VALIDOS,3438374,7.155.439.488.277.320
Ceará,2002,2,DEMAIS,1326507,27.605.317.424.097.200
Ceará,2002,2,VALIDOS,3478752,7.239.468.257.590.270
Ceará,2006,1,DEMAIS,6717664,6.264.629.779.910.060
Ceará,2006,1,VALIDOS,4005498,37.353.702.200.899.300
Ceará,2006,2,DEMAIS,6603165,6.157.852.506.564.760
Ceará,2006,2,VALIDOS,4119997,38.421.474.934.352.300
Ceará,2010,1,DEMAIS,1679555,2.857.325.861.941.660
Ceará,2010,1,VALIDOS,4198511,7.142.674.138.058.330
Ceará,2010,2,DEMAIS,1626893,2.767.675.843.184.430
Ceará,2010,2,VALIDOS,4251299,7.232.324.156.815.560
Ceará,2014,1,DEMAIS,1748677,2.789.443.904.832.560
Ceará,2014,1,VALIDOS,4520232,7.210.556.095.167.430
Ceará,2014,2,DEMAIS,1679716,26.793.844.094.395.900
Ceará,2014,2,VALIDOS,4589321,73.206.155.905.604
Distrito Federal,2006,1,DEMAIS,1962295,5.928.204.585.964.170
Distrito Federal,2006,1,VALIDOS,1347805,407.179.541.403.583
Distrito Federal,2006,2,DEMAIS,1966955,594.228.271.049.213
Distrito Federal,2006,2,VALIDOS,1343145,405.771.728.950.787
Distrito Federal,2010,1,DEMAIS,376883,2.055.043.180.209.620
Distrito Federal,2010,1,VALIDOS,1457059,7.944.956.819.790.370
Distrito Federal,2010,2,DEMAIS,492162,2.683.346.645.694.010
Distrito Federal,2010,2,VALIDOS,1341973,7.316.653.354.305.980
Distrito Federal,2014,1,DEMAIS,321183,1.694.273.926.687.650
Distrito Federal,2014,1,VALIDOS,1574514,830.572.607.331.235
Distrito Federal,2014,2,DEMAIS,372138,19.627.593.758.208.000
Distrito Federal,2014,2,VALIDOS,1523856,803.724.062.417.919
Distrito Federal,1989,1,DEMAIS,97850,11.413.341.420.456.500
Distrito Federal,1989,1,VALIDOS,759480,8.858.665.857.954.340
